Total,Crew,passenger,Ground,T,Incident[a],Phase,Year,Month,days_of_week,surivors,Country,City,accident ,Reason,Aircraft_name,Aircraft_model,flight_company
176,9,167,0,EXG,Ukraine International Airlines Flight 752,ENR ,2020,1,Wednesday,no survivors,Iran,Tehran,Crashed,caught fire,Boeing,737-800,Ukraine International Airlines
176,9,167,0,COM,Surinam Airways Flight 764,APR ,1989,6,Wednesday,no survivors,Surinam,Paramaribo,Crashed ,mountain collied,Douglas,DC-8-62,Surinam Airways Flight
176,14,162,0,COM,British Airways Flight 476 and Inex-Adria Aviopromet Flight 550,ENR  ,1976,9,Friday,no survivors,Yugoslavia,Vrbovec,Collied,Wing failure,Hawker,Siddeley,British Airways Flight
176,6,170,0,COM,Nigeria Airways (JY-ADO),LDG ,1973,1,Monday,no survivors,Nigeria,Kano,Crashed,overloaded flight,Boeing,707-3D3C,Nigeria Airways (JY-ADO)
174,10,164,0,COM,Aeroflot Flight 217,APR ,1972,10,Friday,no survivors,USSR,Moscow,Crashed,lost signal,Ilyushin,Il-62,Aeroflot Flight 217
170,10,160,0,COM,Pulkovo Aviation Enterprise Flight 612,ENR ,2006,8,Tuesday,no survivors,Ukraine,Sukha Balka,diappeared,mountain collied,Tupolev,Tu-154M,Pulkovo Aviation Enterprise
170,14,156,0,INB,Union de Transports Aériens Flight 772,ENR ,1989,9,Tuesday,no survivors,Niger,Ténéré,Crashed,Misscommunication,McDonnell,Douglas,Union de Transports
169,10,159,0,COM,Kenya Airways Flight 431,ENR ,2000,1,Sunday,no survivors,Gulf of Guinea off Côte d'Ivoire,Gulf of Guinea off Côte d'Ivoire,Collied,mountain collied,Airbus,A310-304,Kenya Airways Flight
168,12,156,0,COM,Caspian Airlines Flight 7908,ENR ,2009,7,Wednesday,no survivors,Iran,Qazvin,Crashed,explosive device,Tupolev,Tu-154M,Caspian Airlines Flight
167,12,155,0,COM,Pakistan International Airlines Flight 268,APR ,1992,9,Monday,no survivors,Nepal,Kathmandu,exploded,unable to control,Airbus,A300B4-200,Pakistan International Airlines
167,8,159,0,COM,Mexicana de Aviación Flight 940,ENR ,1986,3,Monday,no survivors,Mexico,Sierra Madre Occidental,Crashed,international act,Boeing,727-264,Mexicana de Aviación
166,10,156,0,COM,Aeroflot Flight 4225,ENR ,1980,7,Tuesday,no survivors,USSR,Almaty,Crashed,Into sea,Tupolev,Tu-154B-2,Aeroflot Flight 4225
162,7,155,0,COM,Indonesia AirAsia Flight 8501,ENR ,2014,12,Sunday,no survivors,Indonesia,Karimata Strait,Crashed,while takeoff,Airbus,A320-216,Indonesia AirAsia Flight
162,7,155,0,COM,All Nippon Airways Flight 58 and JASDF (92-7932),ENR ,1971,7,Friday,no survivors,Japan,Shizukuishi,Crashed,higy alltitude,Boeing,727-200,All Nippon Airways
160,8,152,0,COM,West Caribbean Airways Flight 708,ENR ,2005,8,Tuesday,no survivors,Venezuela,Machiques,Crashed,While landing,McDonnell,Douglas,West Caribbean Airways
160,14,146,0,COM,China Northwest Airlines Flight 2303,ENR ,1994,6,Monday,no survivors,China,Xi'an,exploded ,mountain collied,Tupolev,Tu-154M,China Northwest Airlines
159,6,147,6,COM,Dana Air Flight 0992,APR ,2012,6,Sunday,no survivors,Nigeria,Lagos,Crashed ,terrorist attack,McDonnell,Douglas,Dana Air Flight
159,8,151,0,COM,American Airlines Flight 965,APR ,1995,12,Wednesday,no survivors,Colombia,near Buga,accident ,terrorist attack,Boeing,757-223,American Airlines Flight
159,9,150,0,COM,Libyan Arab Airlines Flight 1103 and Libyan Air Force,APR ,1992,12,Tuesday,no survivors,Libya,Qasr bin Ghashir,Hijacked,System failure,Boeing,727-2L5,Libyan Arab Airlines
159,8,151,0,MIL,Nigerian Air Force (NAF911),ENR ,1992,9,Saturday,no survivors,Nigeria,Lagos,Hijacked,structure failure,Lockheed,C-130H,Nigerian Air Force
159,19,140,0,COM,South African Airways Flight 295,ENR ,1987,11,Saturday,no survivors,area of Mauritius,Indian Ocean,Collied,System failure,Boeing,747-244B,South African Airways
158,6,160,0,COM,Air India Express Flight 812,LDG ,2010,5,Saturday,no survivors,India,Mangalore,Exploded,System failure,Boeing,737-8HG,Air India Express
157,8,149,0,COM,Ethiopian Airlines Flight 302,ENR ,2019,3,Sunday,no survivors,Ethiopia,Bishoftu,Collied,Bomb planted,Boeing,737,Ethiopian Airlines Flight
156,6,148,2,COM,Northwest Airlines Flight 255,TOF ,1987,8,Sunday,survivors,U.S.,Romulus,Crashed,after takeoff,McDonnell,Douglas,Northwest Airlines Flight
156,11,145,0,COM,Pakistan International Airlines Flight 740,ENR ,1979,11,Monday,no survivors,Saudi Arabia,near Taif,explosion,missile attack,Boeing,707-340C,Pakistan International Airlines
156,11,145,0,COM,Interflug Flight 450,ENR ,1972,8,Monday,no survivors,East Germany,Königs Wusterhausen,caught fire ,mountain collied,Ilyushin,Il-62,Interflug Flight 450
155,7,148,0,COM,Spantax (EC-BZR),ICL ,1972,12,Sunday,no survivors,Spain,San Cristóbal,Shot down,engine problem,Convair,990,Spantax (EC-BZR)
155,10,74,71,COM,Viasa Flight 742,ICL ,1969,3,Sunday,no survivors,Venezuela,Maracaibo,Crashed ,Wing failure,McDonnell,Douglas,Viasa Flight 742
155,5,150,0,EXG,US Air Force (60-0297),ICL ,1968,5,Sunday,no survivors,South Vietnam,Kham Duc,Crashed,terrorist attack,Lockheed,C-130B,US Air Force
154,6,148,0,COM,Spanair Flight 5022,TOF ,2008,8,Wednesday,no survivors,Spain,Madrid,Crashed,aircraft,McDonnell,Douglas,Spanair Flight 5022
154,6,148,0,COM,Gol Transportes Aéreos Flight 1907 and  ExcelAire (N600XL),ENR ,2006,9,Friday,no survivors,Brazil,near Peixoto Azevedo,Bomded,System failure,Boeing,737-8EH,Gol Transportes Aéreos
154,8,146,0,COM,Turkish Airlines Flight 452,APR ,1976,9,Sunday,no survivors,Turkey,Isparta,Shot down,unable to control,Boeing,727-2F2,Turkish Airlines Flight
153,7,138,8,COM,Pan Am Flight 759,ICL ,1982,7,Friday,no survivors,U.S.,Kenner,Crashed,caught fire,Boeing,727-235,Pan Am Flight
152,6,146,0,COM,Airblue Flight 202,APR ,2010,7,Wednesday,no survivors,Pakistan,Islamabad,Crashed,mountain collied,Airbus,A321-231,Airblue Flight 202
152,11,141,0,COM,Yemenia Flight 626,APR ,2009,6,Tuesday,survivors,Comoros,Mozambique Channel off Mitsamiouli,Crashed ,Wing failure,Airbus,A310-324,Yemenia Flight 626
150,6,144,0,COM,Germanwings Flight 9525,ENR ,2015,3,Tuesday,no survivors,France,near the French Alps,Collied,overloaded flight,Airbus,A320-211,Germanwings Flight 9525
150,11,115,24,COM,Cubana de Aviación Flight 9046,ICL ,1989,9,Sunday,no survivors,Cuba,Havana,Crashed,lost signal,Ilyushin,II-62M,Cubana de Aviación
149,5,95,49,COM,Mandala Airlines Flight 091,ICL ,2005,9,Monday,no survivors,Indonesia,Medan,Crashed,mountain collied,Boeing,737-230,Mandala Airlines Flight
148,13,135,0,COM,Flash Airlines Flight 604,ENR ,2004,1,Saturday,no survivors,Egypt,Red Sea,diappeared,Misscommunication,Boeing,737-3Q8,Flash Airlines Flight
148,7,141,0,COM,Iberia Airlines Flight 610,ENR ,1985,2,Tuesday,no survivors,Spain,Oiz mountain,Crashed,mountain collied,Boeing,727-256,Iberia Airlines Flight
146,8,138,0,COM,Dan-Air Flight 1008,APR ,1980,4,Friday,no survivors,Spain,La Esperanza Forest,Collied,explosive device,Boeing,727-46,Dan-Air Flight 1008
145,9,136,0,COM,Vladivostok Air Flight 352,APR ,2001,7,Wednesday,no survivors,Russia,near Budaro,Crashed,unable to control,Tupolev,Tu-154M,Vladivostok Air Flight
144,10,134,0,COM,ADC Airlines Flight 086,APR ,1996,11,Thursday,no survivors,Nigeria,Ejirin,exploded,international act,Boeing,727-231,ADC Airlines Flight
144,7,137,0,COM,Independent Air Flight 1851,APR ,1989,2,Wednesday,no survivors,Portugal,Pico Alto,Crashed,Into sea,Boeing,707-331B,Independent Air Flight
144,9,128,7,COM,Pacific Southwest Airlines Flight 182 and Private aircraft (N7711G),APR ,1978,9,Monday,no survivors,U.S.,San Diego,Crashed,while takeoff,Boeing,727-214,Pacific Southwest Airlines
143,8,135,0,COM,Gulf Air Flight 072,APR ,2000,8,Wednesday,no survivors,Bahrain,Persian Gulf,Crashed,higy alltitude,Airbus,A320-212,Gulf Air Flight
143,7,136,0,COM,Avianca Flight 410,ENR ,1988,3,Thursday,no survivors,Colombia,Sardinata,Crashed,While landing,Boeing,727-21,Avianca Flight 410
141,5,136,0,COM,UTA Flight 141,TOF ,2003,12,Thursday,no survivors,Benin,Cotonou,Crashed,mountain collied,Boeing,727-223,UTA Flight 141
141,11,130,0,COM,Vnukovo Airlines Flight 2801,APR ,1996,8,Thursday,no survivors,Norway,Svalbard,exploded ,terrorist attack,Tupolev,Tu-154M,Vnukovo Airlines Flight
141,4,137,0,COM,Trans Service Airlift (9Q-CRR),TOF ,1995,12,Monday,no survivors,Angola,Jamba,Crashed,Wing failure,Lockheed,L-188,Trans Service Airlift
141,10,131,0,COM,China Southern Airlines Flight 3943,APR ,1992,11,Tuesday,no survivors,China,Hejiaqiao,Crashed,overloaded flight,Boeing,737-31B,China Southern Airlines
140,7.413793103,0,0,MIL,Malian Air Force (TZ-98T),LDG ,2023,9,Saturday,no survivors,Mali,Gao International Airport,diappeared,lost signal,Ilyushin,Il-76TD,Malian Air Force
139,12,110,17,MIL,Indonesian Air Force (A-1310),ICL ,2015,6,Tuesday,no survivors,Indonesia,Medan,Crashed,mountain collied,Lockheed,C-130,Indonesian Air Force
138,11,127,0,MIL,US Air Force (68-0218),ENR ,1975,4,Friday,no survivors,South Vietnam,Saigon,Collied,Misscommunication,Lockheed,C-5A,US Air Force
137,8,128,1,COM,Delta Air Lines Flight 191,APR ,1985,8,Friday,no survivors,U.S.,Dallas–Fort Worth,Crashed,mountain collied,Lockheed,L-1011,Delta Air Lines
137,9,128,0,COM,Viação Aérea São Paulo Flight 168,APR ,1982,6,Tuesday,no survivors,Brazil,Pacatuba,exploded,explosive device,Boeing,727-212A,Viação Aérea São
135,12,121,2,MIL,Indonesian Air Force (A-1324),ICL ,1991,10,Saturday,survivors,Indonesia,East Jakarta,Crashed,unable to control,Lockheed,C-130H-30,Indonesian Air Force
134,12,116,6,COM,United Air Lines Flight 826 and Trans World Airlines Flight 266,APR  ,1960,12,Friday,no survivors,U.S.,New York City,Crashed,international act,Douglas,DC-8-21,United Air Lines
